,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
67,BURTON,12.0,10.4,13.9475,0.71,20.26,-77.282,-797.282,2.34,0.274
68,BURTON,13.0,10.4,13.9475,0.71,20.62,-159.436,-879.436,2.371,0.259
69,BURTON,14.0,10.4,13.9475,0.71,24.94,153.17,-926.83,2.333,0.288
70,BURTON,15.0,10.4,13.9475,0.71,26.63,98.26,-981.74,2.315,0.286
71,BURTON,16.0,10.4,13.9475,0.71,27.09,41.583,-1038.417,2.303,0.272
72,BURTON,7.0,6.8,18.7622,0.5957,10.3,23.404,-336.596,2.512,0.378
73,BURTON,8.0,6.8,18.7622,0.5957,11.98,-11.758,-371.758,2.449,0.38
74,BURTON,9.0,6.8,18.7622,0.5957,13.83,-49.285,-409.285,2.41,0.387
75,BURTON,10.0,6.8,18.7622,0.5957,16.73,-78.077,-438.077,2.344,0.416
76,BURTON,11.0,6.8,18.7622,0.5957,17.22,-115.514,-475.514,2.324,0.387
77,BURTON,12.0,6.8,18.7622,0.5957,18.2,-157.246,-517.246,2.32,0.375
78,BURTON,13.0,6.8,18.7622,0.5957,20.32,157.923,-562.077,2.325,0.387
79,BURTON,14.0,6.8,18.7622,0.5957,21.57,117.927,-602.073,2.316,0.38
80,BURTON,15.0,6.8,18.7622,0.5957,23.57,82.344,-637.656,2.297,0.386
81,BURTON,16.0,6.8,18.7622,0.5957,25.62,40.48,-679.52,2.295,0.394
82,BURTON,17.0,6.8,18.7622,0.5957,26.97,5.939,-714.061,2.278,0.389
83,BURTON,18.0,6.8,18.7622,0.5957,28.52,-27.022,-747.022,2.259,0.386
84,BURTON,6.0,6.8,18.7622,0.6565,8.26,50.418,-309.582,2.652,0.363
85,BURTON,7.0,6.8,18.7622,0.6565,10.68,-6.928,-366.928,2.682,0.405
86,BURTON,8.0,6.8,18.7622,0.6565,12.42,-43.135,-403.135,2.601,0.406
87,BURTON,9.0,6.8,18.7622,0.6565,14.98,-85.537,-445.537,2.563,0.432
88,BURTON,10.0,6.8,18.7622,0.6565,17.84,-124.008,-484.008,2.517,0.459
89,BURTON,11.0,6.8,18.7622,0.6565,18.55,-163.033,-523.033,2.486,0.432
90,BURTON,12.0,6.8,18.7622,0.6565,19.73,155.594,-564.406,2.467,0.419
91,BURTON,13.0,6.8,18.7622,0.6565,22.55,95.691,-624.309,2.504,0.446
92,BURTON,14.0,6.8,18.7622,0.6565,23.87,70.047,-649.953,2.443,0.433
93,BURTON,15.0,6.8,18.7622,0.6565,25.53,28.218,-691.782,2.431,0.431
94,BURTON,16.0,6.8,18.7622,0.6565,27.0,-16.631,-736.631,2.428,0.427
95,BURTON,17.0,6.8,18.7622,0.6565,29.99,-51.943,-771.943,2.402,0.444
96,BURTON,5.0,6.8,18.7622,0.698,8.21,69.706,-290.295,2.912,0.455
97,BURTON,6.0,6.8,18.7622,0.698,9.22,32.072,-327.928,2.773,0.415
98,BURTON,7.0,6.8,18.7622,0.698,11.2,-26.592,-386.592,2.795,0.434
99,BURTON,8.0,6.8,18.7622,0.698,12.93,-65.59,-425.59,2.712,0.432
100,BURTON,9.0,6.8,18.7622,0.698,15.82,-112.309,-472.309,2.68,0.467
101,BURTON,10.0,6.8,18.7622,0.698,18.39,-157.706,-517.706,2.649,0.486
102,BURTON,11.0,6.8,18.7622,0.698,19.0,158.303,-561.697,2.624,0.454
103,BURTON,12.0,6.8,18.7622,0.698,21.15,118.187,-601.813,2.587,0.46
104,BURTON,13.0,6.8,18.7622,0.698,23.1,44.686,-675.314,2.658,0.47
105,BURTON,14.0,6.8,18.7622,0.698,26.05,24.331,-695.669,2.566,0.484
106,BURTON,15.0,6.8,18.7622,0.698,27.78,-18.585,-738.585,2.549,0.48
107,BURTON,16.0,6.8,18.7622,0.698,28.99,-62.479,-782.479,2.536,0.468
108,BURTON,7.0,5.3,23.014,0.4917,8.79,80.473,-279.527,2.633,0.424
109,BURTON,8.0,5.3,23.014,0.4917,10.66,57.643,-302.357,2.523,0.441
110,BURTON,9.0,5.3,23.014,0.4917,11.95,32.996,-327.004,2.45,0.433
111,BURTON,10.0,5.3,23.014,0.4917,14.13,13.13,-346.87,2.367,0.453
112,BURTON,11.0,5.3,23.014,0.4917,15.99,-13.291,-373.291,2.329,0.462
113,BURTON,12.0,5.3,23.014,0.4917,16.6,-53.55,-413.55,2.357,0.442
114,BURTON,13.0,5.3,23.014,0.4917,18.02,-89.924,-449.924,2.364,0.444
115,BURTON,14.0,5.3,23.014,0.4917,20.72,-111.069,-471.069,2.314,0.469
116,BURTON,15.0,5.3,23.014,0.4917,23.0,-149.328,-509.328,2.328,0.488
117,BURTON,16.0,5.3,23.014,0.4917,25.33,178.938,-541.062,2.319,0.503
118,BURTON,17.0,5.3,23.014,0.4917,27.35,146.015,-573.985,2.316,0.511
119,BURTON,18.0,5.3,23.014,0.4917,29.59,110.551,-609.449,2.319,0.523
120,BURTON,7.0,5.3,23.014,0.6085,9.28,38.658,-321.342,2.946,0.474
121,BURTON,8.0,5.3,23.014,0.6085,12.08,15.605,-344.395,2.787,0.525
122,BURTON,9.0,5.3,23.014,0.6085,14.39,-25.039,-385.039,2.77,0.555
123,BURTON,10.0,5.3,23.014,0.6085,16.19,-52.966,-412.966,2.692,0.554
124,BURTON,11.0,5.3,23.014,0.6085,17.0,-85.434,-445.434,2.653,0.525
125,BURTON,12.0,5.3,23.014,0.6085,19.49,-122.984,-482.984,2.638,0.55
126,BURTON,13.0,5.3,23.014,0.6085,20.59,-161.356,-521.356,2.632,0.536
127,BURTON,14.0,5.3,23.014,0.6085,23.43,158.659,-561.341,2.628,0.566
128,BURTON,15.0,5.3,23.014,0.6085,26.11,133.212,-586.788,2.576,0.583
129,BURTON,16.0,5.3,23.014,0.6085,28.79,99.774,-620.226,2.556,0.601
130,BURTON,6.0,5.3,23.014,0.6734,8.17,58.591,-301.409,3.184,0.506
131,BURTON,7.0,5.3,23.014,0.6734,9.98,4.613,-355.387,3.212,0.532
132,BURTON,8.0,5.3,23.014,0.6734,13.44,-24.645,-384.645,3.053,0.612
133,BURTON,9.0,5.3,23.014,0.6734,16.09,-69.59,-429.59,3.03,0.649
134,BURTON,10.0,5.3,23.014,0.6734,18.32,-105.532,-465.532,2.964,0.658
135,BURTON,11.0,5.3,23.014,0.6734,19.89,-141.411,-501.411,2.912,0.644
