,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
66,GA COOK,7.0,6.5,18.57,0.7726,18.1316,-113.656,-473.656,3.439,0.819
67,GA COOK,8.0,6.5,18.57,0.7726,21.31,178.656,-541.345,3.437,0.842
68,GA COOK,9.0,6.5,18.57,0.7726,23.6091,112.381,-607.62,3.431,0.83
69,GA COOK,10.0,6.5,18.57,0.7726,25.6799,40.943,-679.057,3.452,0.814
70,GA COOK,11.0,6.5,18.57,0.7726,27.7443,-18.896,-738.896,3.418,0.795
71,GA COOK,5.0,6.5,18.57,0.8082,11.9376,-3.091,-363.091,3.688,0.779
72,GA COOK,6.0,6.5,18.57,0.8082,15.5978,-70.584,-430.584,3.638,0.845
73,GA COOK,7.0,6.5,18.57,0.8082,19.0935,-133.241,-493.241,3.57,0.877
74,GA COOK,8.0,6.5,18.57,0.8082,22.2702,156.477,-563.523,3.567,0.894
75,GA COOK,9.0,6.5,18.57,0.8082,24.2934,89.253,-630.747,3.552,0.868
76,GA COOK,10.0,6.5,18.57,0.8082,26.1961,18.222,-701.778,3.56,0.841
77,GA COOK,11.0,6.5,18.57,0.8082,28.1787,-41.412,-761.412,3.515,0.819
78,GA COOK,6.0,4.4,19.44,0.6813,9.3449,90.364,-269.636,3.389,0.72
79,GA COOK,7.0,4.4,19.44,0.6813,11.2767,55.574,-304.426,3.285,0.735
80,GA COOK,8.0,4.4,19.44,0.6813,13.4324,16.852,-343.148,3.241,0.761
81,GA COOK,9.0,4.4,19.44,0.6813,15.8097,-17.979,-377.979,3.175,0.787
82,GA COOK,10.0,4.4,19.44,0.6813,18.3443,-53.545,-413.545,3.127,0.818
83,GA COOK,11.0,4.4,19.44,0.6813,20.6303,-88.024,-448.024,3.083,0.828
84,GA COOK,12.0,4.4,19.44,0.6813,23.3498,-129.735,-489.735,3.084,0.863
85,GA COOK,13.0,4.4,19.44,0.6813,26.558,-170.365,-530.365,3.078,0.903
86,GA COOK,14.0,4.4,19.44,0.6813,29.897,144.157,-575.843,3.093,0.951
87,GA COOK,6.0,4.4,19.44,0.7605,10.229,71.816,-288.184,3.601,0.814
88,GA COOK,7.0,4.4,19.44,0.7605,12.2167,34.666,-325.334,3.488,0.819
89,GA COOK,8.0,4.4,19.44,0.7605,14.334,-6.042,-366.042,3.434,0.837
90,GA COOK,9.0,4.4,19.44,0.7605,16.5948,-42.659,-402.659,3.36,0.852
91,GA COOK,10.0,4.4,19.44,0.7605,19.0935,-80.692,-440.692,3.309,0.876
92,GA COOK,11.0,4.4,19.44,0.7605,21.4116,-116.826,-476.826,3.257,0.886
93,GA COOK,12.0,4.4,19.44,0.7605,24.2934,-157.847,-517.847,3.238,0.921
94,GA COOK,13.0,4.4,19.44,0.7605,27.535,164.663,-555.337,3.203,0.954
95,GA COOK,5.0,4.4,19.44,0.8108,8.2908,100.661,-259.339,3.887,0.822
96,GA COOK,6.0,4.4,19.44,0.8108,10.8424,56.103,-303.897,3.788,0.885
97,GA COOK,7.0,4.4,19.44,0.8108,12.9563,17.037,-342.963,3.663,0.892
98,GA COOK,8.0,4.4,19.44,0.8108,15.2391,-25.414,-385.414,3.601,0.91
99,GA COOK,9.0,4.4,19.44,0.8108,17.5885,-63.887,-423.887,3.52,0.924
100,GA COOK,10.0,4.4,19.44,0.8108,20.2646,-104.142,-464.142,3.467,0.951
101,GA COOK,11.0,4.4,19.44,0.8108,22.7335,-142.328,-502.328,3.411,0.962
102,GA COOK,12.0,4.4,19.44,0.8108,25.8486,174.089,-545.911,3.393,1.0
103,GA COOK,13.0,4.4,19.44,0.8108,29.1186,134.356,-585.644,3.356,1.039
104,GA PRICHARD,10.0,7.7,9.3,0.7509,9.0691,-171.907,-531.907,2.479,0.204
105,GA PRICHARD,11.0,7.7,9.3,0.7509,9.7623,139.116,-580.884,2.466,0.199
106,GA PRICHARD,12.0,7.7,9.3,0.7509,10.2572,84.422,-635.578,2.471,0.192
107,GA PRICHARD,13.0,7.7,9.3,0.7509,10.8122,31.635,-688.365,2.471,0.187
108,GA PRICHARD,14.0,7.7,9.3,0.7509,11.972,-26.591,-746.591,2.484,0.193
109,GA PRICHARD,15.0,7.7,9.3,0.7509,13.5971,-79.253,-799.253,2.482,0.204
110,GA PRICHARD,16.0,7.7,9.3,0.7509,15.4423,-133.8,-853.8,2.484,0.218
111,GA PRICHARD,17.0,7.7,9.3,0.7509,16.7129,176.659,-903.341,2.476,0.221
112,GA PRICHARD,18.0,7.7,9.3,0.7509,17.2656,120.122,-959.878,2.483,0.216
113,GA PRICHARD,9.0,7.7,9.3,0.822,8.2908,-149.501,-509.501,2.596,0.212
114,GA PRICHARD,10.0,7.7,9.3,0.822,9.4474,153.221,-566.779,2.598,0.218
115,GA PRICHARD,11.0,7.7,9.3,0.822,10.2572,101.159,-618.841,2.584,0.214
116,GA PRICHARD,12.0,7.7,9.3,0.822,10.8424,43.841,-676.159,2.587,0.207
117,GA PRICHARD,13.0,7.7,9.3,0.822,11.4373,-11.039,-731.039,2.584,0.202
118,GA PRICHARD,14.0,7.7,9.3,0.822,12.5418,-71.66,-791.66,2.594,0.206
119,GA PRICHARD,15.0,7.7,9.3,0.822,14.0229,-126.639,-846.639,2.59,0.215
120,GA PRICHARD,16.0,7.7,9.3,0.822,15.7031,176.649,-903.351,2.591,0.226
121,GA PRICHARD,17.0,7.7,9.3,0.822,16.7726,125.95,-954.05,2.579,0.226
122,GA PRICHARD,18.0,7.7,9.3,0.822,17.0774,68.953,-1011.047,2.581,0.218
123,GA PRICHARD,9.0,7.7,9.3,0.8554,8.4272,-160.547,-520.547,2.639,0.218
124,GA PRICHARD,10.0,7.7,9.3,0.8554,9.5251,141.231,-578.769,2.64,0.221
125,GA PRICHARD,11.0,7.7,9.3,0.8554,10.2856,87.756,-632.244,2.627,0.216
126,GA PRICHARD,12.0,7.7,9.3,0.8554,10.9031,28.757,-691.243,2.631,0.21
127,GA PRICHARD,13.0,7.7,9.3,0.8554,11.5679,-27.241,-747.241,2.627,0.206
128,GA PRICHARD,14.0,7.7,9.3,0.8554,12.6529,-88.618,-808.618,2.637,0.21
129,GA PRICHARD,15.0,7.7,9.3,0.8554,14.0229,-144.327,-864.327,2.632,0.217
130,GA PRICHARD,16.0,7.7,9.3,0.8554,15.4938,157.548,-922.452,2.632,0.225
131,GA PRICHARD,17.0,7.7,9.3,0.8554,16.4205,105.043,-974.957,2.622,0.224
132,GA PRICHARD,18.0,7.7,9.3,0.8554,16.8328,46.585,-1033.415,2.624,0.216
133,GA PRICHARD,7.0,7.7,12.26,0.7185,9.2436,-43.128,-403.128,2.626,0.306
134,GA PRICHARD,8.0,7.7,12.26,0.7185,10.8122,-100.849,-460.849,2.626,0.314
135,GA PRICHARD,9.0,7.7,12.26,0.7185,12.2879,-155.031,-515.031,2.613,0.315
136,GA PRICHARD,10.0,7.7,12.26,0.7185,13.8074,147.318,-572.682,2.614,0.319
137,GA PRICHARD,11.0,7.7,12.26,0.7185,14.9429,96.091,-623.909,2.595,0.313
138,GA PRICHARD,12.0,7.7,12.26,0.7185,15.9721,41.022,-678.978,2.591,0.307
139,GA PRICHARD,13.0,7.7,12.26,0.7185,17.0774,-11.665,-731.665,2.58,0.302
140,GA PRICHARD,14.0,7.7,12.26,0.7185,18.9384,-71.194,-791.194,2.588,0.311
141,GA PRICHARD,15.0,7.7,12.26,0.7185,21.31,-127.148,-847.148,2.586,0.327
142,GA PRICHARD,16.0,7.7,12.26,0.7185,24.1522,173.323,-906.677,2.591,0.348
143,GA PRICHARD,17.0,7.7,12.26,0.7185,26.0206,120.651,-959.35,2.582,0.353
