Unnamed: 0,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Phase/Attn
108,KANSAS,13.0,7.7,16.33,0.8116,24.7314,-117.269,-837.269,2.862,0.46,-4.741704877200644
109,KANSAS,14.0,7.7,16.33,0.8116,26.7448,-176.318,-896.318,2.847,0.463,-6.592608656636057
110,KANSAS,15.0,7.7,16.33,0.8116,29.3704,128.736,-951.264,2.824,0.471,4.383188516329366
111,KANSAS,5.0,6.5,18.13,0.7279,8.2234,72.736,-287.264,2.996,0.484,8.845003283313472
112,KANSAS,6.0,6.5,18.13,0.7279,10.3425,23.011,-336.989,2.937,0.502,2.224897268552091
113,KANSAS,7.0,6.5,18.13,0.7279,12.2522,-22.29,-382.29,2.869,0.503,-1.8192651115717993
114,KANSAS,8.0,6.5,18.13,0.7279,14.4708,-71.956,-431.956,2.84,0.517,-4.972496337451973
115,KANSAS,9.0,6.5,18.13,0.7279,16.8328,-117.206,-477.206,2.797,0.531,-6.962953281688133
116,KANSAS,10.0,6.5,18.13,0.7279,19.4123,-163.769,-523.769,2.767,0.55,-8.436352209681491
117,KANSAS,11.0,6.5,18.13,0.7279,21.4116,154.12,-565.88,2.727,0.546,7.197967456892526
118,KANSAS,12.0,6.5,18.13,0.7279,22.9748,105.261,-614.739,2.719,0.537,4.581585041001445
119,KANSAS,13.0,6.5,18.13,0.7279,24.437,56.677,-663.323,2.711,0.526,2.3193108810410443
120,KANSAS,14.0,6.5,18.13,0.7279,26.3752,3.577,-716.423,2.717,0.529,0.13561982468379385
121,KANSAS,15.0,6.5,18.13,0.7279,28.636,-43.337,-763.337,2.705,0.533,-1.5133747730129907
122,KANSAS,5.0,6.5,18.13,0.7978,9.2688,44.431,-315.569,3.248,0.568,4.793608665630933
123,KANSAS,6.0,6.5,18.13,0.7978,11.8013,-10.609,-370.609,3.183,0.596,-0.8989687576792388
124,KANSAS,7.0,6.5,18.13,0.7978,14.0667,-60.358,-420.358,3.104,0.601,-4.29084291269452
125,KANSAS,8.0,6.5,18.13,0.7978,16.4782,-115.197,-475.197,3.073,0.614,-6.990872789503707
126,KANSAS,9.0,6.5,18.13,0.7978,18.9384,-167.108,-527.108,3.034,0.623,-8.823765471211928
127,KANSAS,10.0,6.5,18.13,0.7978,21.7237,136.957,-583.043,3.02,0.642,6.3044969319222774
128,KANSAS,11.0,6.5,18.13,0.7978,24.0132,87.159,-632.841,2.985,0.641,3.629628704212683
129,KANSAS,12.0,6.5,18.13,0.7978,25.6799,33.879,-686.121,2.971,0.628,1.3192808383210215
130,KANSAS,13.0,6.5,18.13,0.7978,26.9357,-16.938,-736.938,2.951,0.604,-0.6288308824348355
131,KANSAS,14.0,6.5,18.13,0.7978,28.4043,-72.767,-792.767,2.949,0.594,-2.561830427083223
132,KANSAS,5.0,6.5,18.13,0.842,10.1448,25.932,-334.068,3.417,0.637,2.5561864206292877
133,KANSAS,6.0,6.5,18.13,0.842,12.9178,-32.296,-392.296,3.346,0.669,-2.500116118843766
134,KANSAS,7.0,6.5,18.13,0.842,15.391,-84.835,-444.835,3.259,0.675,-5.511987525177051
135,KANSAS,8.0,6.5,18.13,0.842,17.9926,-142.785,-502.785,3.225,0.686,-7.9357624801307205
136,KANSAS,9.0,6.5,18.13,0.842,20.4455,161.665,-558.335,3.186,0.689,7.90711892592502
137,KANSAS,10.0,6.5,18.13,0.842,23.098,100.717,-619.283,3.18,0.702,4.3604208156550355
138,KANSAS,11.0,6.5,18.13,0.842,25.3521,46.29,-673.71,3.149,0.696,1.8258842462754565
139,KANSAS,12.0,6.5,18.13,0.842,27.1309,-10.264,-730.264,3.133,0.68,-0.37831402570500794
140,KANSAS,13.0,6.5,18.13,0.842,28.4043,-62.584,-782.584,3.105,0.653,-2.2033283692961985
