Unnamed: 0,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Type,Phase/Attn,Freq*d(cm),Freq*Attn
41,KANSAS,9.0,7.7,13.85,0.7183,13.7227,-135.578,-495.578,2.535,0.348,15.855505617977526,-9.879834143426585,69.3,123.5043
42,KANSAS,10.0,7.7,13.85,0.7183,15.4938,172.492,-547.508,2.524,0.352,15.855505617977526,11.132969316758961,77.0,154.938
43,KANSAS,11.0,7.7,13.85,0.7183,16.7129,125.024,-594.976,2.502,0.344,15.855505617977526,7.480688569907077,84.7,183.8419
44,KANSAS,12.0,7.7,13.85,0.7183,17.6546,72.107,-647.893,2.499,0.333,15.855505617977526,4.084317968121623,92.4,211.85519999999997
45,KANSAS,13.0,7.7,13.85,0.7183,18.7108,21.73,-698.27,2.49,0.325,15.855505617977526,1.1613613528015907,100.10000000000001,243.2404
46,KANSAS,14.0,7.7,13.85,0.7183,20.2646,-32.334,-752.334,2.491,0.327,15.855505617977526,-1.595590339804388,107.8,283.7044
47,KANSAS,15.0,7.7,13.85,0.7183,22.1581,-79.65,-799.65,2.476,0.333,15.855505617977526,-3.5946222825964322,115.5,332.3715
48,KANSAS,16.0,7.7,13.85,0.7183,24.1522,-128.209,-848.209,2.465,0.339,15.855505617977526,-5.3083777047225515,123.2,386.4352
49,KANSAS,17.0,7.7,13.85,0.7183,25.5145,-174.183,-894.183,2.451,0.336,15.855505617977526,-6.8268239628446565,130.9,433.7465
50,KANSAS,18.0,7.7,13.85,0.7183,26.7448,129.543,-950.458,2.458,0.333,15.855505617977526,4.843670545302264,138.6,481.4064
51,KANSAS,6.0,7.7,13.85,0.7915,9.6297,-13.41,-373.41,2.788,0.383,15.855505617977526,-1.3925667466276208,46.2,57.7782
52,KANSAS,7.0,7.7,13.85,0.7915,11.3406,-66.834,-426.834,2.742,0.384,15.855505617977526,-5.893338976773716,53.9,79.3842
53,KANSAS,8.0,7.7,13.85,0.7915,13.2309,-125.335,-485.335,2.73,0.391,15.855505617977526,-9.47290055854099,61.6,105.8472
54,KANSAS,9.0,7.7,13.85,0.7915,14.9429,-179.335,-539.335,2.704,0.391,15.855505617977526,-12.001351812566504,69.3,134.4861
55,KANSAS,10.0,7.7,13.85,0.7915,16.6537,123.3,-596.701,2.694,0.392,15.855505617977526,7.403760125377543,77.0,166.537
56,KANSAS,11.0,7.7,13.85,0.7915,17.9239,71.439,-648.561,2.67,0.381,15.855505617977526,3.9856839192363265,84.7,197.1629
57,KANSAS,12.0,7.7,13.85,0.7915,18.8619,15.031,-704.969,2.663,0.368,15.855505617977526,0.7968974493555794,92.4,226.34279999999998
58,KANSAS,13.0,7.7,13.85,0.7915,19.9136,-38.025,-758.025,2.648,0.356,15.855505617977526,-1.9094990358348063,100.10000000000001,258.8768
59,KANSAS,14.0,7.7,13.85,0.7915,21.4116,-95.457,-815.457,2.646,0.356,15.855505617977526,-4.458190887182648,107.8,299.7624
60,KANSAS,15.0,7.7,13.85,0.7915,23.223,-146.415,-866.415,2.629,0.36,15.855505617977526,-6.304740989536236,115.5,348.34499999999997
61,KANSAS,16.0,7.7,13.85,0.7915,25.1927,161.553,-918.447,2.616,0.364,15.855505617977526,6.412690977942023,123.2,403.0832
62,KANSAS,17.0,7.7,13.85,0.7915,26.3752,113.552,-966.448,2.597,0.357,15.855505617977526,4.305256453031636,130.9,448.3784
63,KANSAS,18.0,7.7,13.85,0.7915,26.9357,56.234,-1023.766,2.599,0.344,15.855505617977526,2.0877125896115563,138.6,484.8426
64,KANSAS,6.0,7.7,13.85,0.8147,9.9788,-27.431,-387.431,2.872,0.403,15.855505617977526,-2.7489277267807752,46.2,59.8728
